symbol,informed_total,informed_chg,uninformed_total,uninformed_chg,net_total,net_chg
P,103411.0,-9453.0,-27701.0,10098.0,131112.0,-19551.0
L,86738.0,-6924.0,-12168.0,3492.0,98906.0,-10416.0
SR,78776.0,141.0,1092.0,1046.0,77684.0,-905.0
AO,20852.0,-92.0,-30420.0,-2251.0,51272.0,2159.0
BU,41508.0,2866.0,-5767.0,-757.0,47275.0,3623.0
AU,32468.0,-1219.0,-472.0,425.0,32940.0,-1644.0
I,38808.0,3823.0,6394.0,4271.0,32414.0,-448.0
Y,13811.0,-4254.0,-16487.0,-5098.0,30298.0,844.0
ZN,29372.0,-573.0,2221.0,-103.0,27151.0,-470.0
AG,36853.0,-229.0,11574.0,410.0,25279.0,-639.0
CF,18422.0,-2572.0,0.0,0.0,18422.0,-2572.0
AL,21012.0,4214.0,3974.0,-1123.0,17038.0,5337.0
PB,7635.0,-858.0,-319.0,224.0,7954.0,-1082.0
EB,6944.0,-1518.0,670.0,-385.0,6274.0,-1133.0
CU,8534.0,1261.0,3004.0,-1470.0,5530.0,2731.0
JD,9178.0,816.0,4266.0,792.0,4912.0,24.0
PR,3085.0,154.0,0.0,0.0,3085.0,154.0
MA,4692.0,-16048.0,2430.0,3682.0,2262.0,-19730.0
EG,3510.0,-519.0,2262.0,1511.0,1248.0,-2030.0
EC,71.0,27.0,-384.0,-431.0,455.0,458.0
LU,2101.0,-472.0,1704.0,-76.0,397.0,-396.0
PG,2379.0,-408.0,2134.0,140.0,245.0,-548.0
RS,0.0,-2.0,0.0,0.0,0.0,-2.0
NI,1484.0,6858.0,1636.0,-605.0,-152.0,7463.0
CY,-503.0,10.0,64.0,4.0,-567.0,6.0
SN,931.0,528.0,1853.0,-120.0,-922.0,648.0
FU,-1518.0,3796.0,-463.0,-794.0,-1055.0,4590.0
SP,-3424.0,-4811.0,-2075.0,2088.0,-1349.0,-6899.0
J,-2018.0,-281.0,-65.0,-26.0,-1953.0,-255.0
AP,1092.0,-800.0,4175.0,-421.0,-3083.0,-379.0
PP,6897.0,1652.0,10143.0,-1475.0,-3246.0,3127.0
HC,5233.0,-6905.0,10056.0,2774.0,-4823.0,-9679.0
NR,-2836.0,-1027.0,2029.0,1322.0,-4865.0,-2349.0
SH,-5869.0,-1331.0,1379.0,379.0,-7248.0,-1710.0
PF,-7529.0,-1071.0,1083.0,-141.0,-8612.0,-930.0
CJ,-1263.0,1578.0,8990.0,-795.0,-10253.0,2373.0
BR,-11280.0,-1027.0,354.0,-408.0,-11634.0,-619.0
LH,-5571.0,156.0,6626.0,-528.0,-12197.0,684.0
PX,-14943.0,-846.0,-2246.0,610.0,-12697.0,-1456.0
SS,-7772.0,1556.0,7429.0,-496.0,-15201.0,2052.0
B,-13065.0,940.0,4023.0,415.0,-17088.0,525.0
UR,-14686.0,619.0,3830.0,-10.0,-18516.0,629.0
LC,-3418.0,-2433.0,15925.0,1517.0,-19343.0,-3950.0
SF,-16570.0,-1732.0,3208.0,227.0,-19778.0,-1959.0
SI,-4721.0,-950.0,15333.0,2893.0,-20054.0,-3843.0
CS,-3922.0,-351.0,17185.0,1242.0,-21107.0,-1593.0
PK,-21327.0,883.0,4290.0,-625.0,-25617.0,1508.0
RU,-15103.0,-2291.0,13325.0,642.0,-28428.0,-2933.0
JM,-10914.0,-2959.0,19380.0,2617.0,-30294.0,-5576.0
SM,-45960.0,-2494.0,0.0,0.0,-45960.0,-2494.0
OI,-38549.0,-18363.0,12658.0,3158.0,-51207.0,-21521.0
A,-51405.0,-7857.0,27157.0,1574.0,-78562.0,-9431.0
FG,-77431.0,-38652.0,72059.0,5647.0,-149490.0,-44299.0
RB,-78900.0,-23064.0,91581.0,-2272.0,-170481.0,-20792.0
TA,-137473.0,11185.0,34468.0,1366.0,-171941.0,9819.0
RM,-183033.0,-17008.0,61110.0,3588.0,-244143.0,-20596.0
V,-176962.0,-2254.0,74354.0,-4311.0,-251316.0,2057.0
SA,-151027.0,-4341.0,106439.0,12211.0,-257466.0,-16552.0
M,-159896.0,-28097.0,157202.0,14558.0,-317098.0,-42655.0
C,-212398.0,8790.0,120485.0,-1440.0,-332883.0,10230.0
